task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7896,0.9811,0.7896,,,,,,,,,,,,,,,,,,,,,0.7349,0.8531,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.9255,0.9612,0.9255,,,,,,,,,,,,,,,,,,,,,0.9907,0.8683,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8199,0.9653,0.8199,,,,,,,,,,,,,,,,,,,,,0.9065,0.7484,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.7322,0.9423,0.7322,,,,,,,,,,,,,,,,,,,,,0.9023,0.6161,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.8352,0.9652,0.8352,,,,,,,,,,,,,,,,,,,,,0.9838,0.7256,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,0.07475120574235916,,,,,0.19491159915924072,,,,,,,,,,,0.125,0.07475120574235916,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,0.13202613592147827,,,,,0.2658494710922241,,,,,,,,,,,0.25,0.13202613592147827,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.057910069823265076,,,,,0.13078248500823975,,,,,,,,,,,0.375,0.057910069823265076,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.18655076622962952,,,,,0.30379214882850647,,,,,,,,,,,0.125,0.18655076622962952,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.16112594306468964,,,,,0.289890855550766,,,,,,,,,,,0.375,0.16112594306468964,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.04983792081475258,,,,,0.11889231204986572,,,,,,,,,,,0.125,0.04983792081475258,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.24684616923332214,,,,,0.37291809916496277,,,,,,,,,,,0.5,0.24684616923332214,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.19603775441646576,,,,,0.30840957164764404,,,,,,,,,,,0.25,0.19603775441646576,,,,,,,,,,,,
imputation,imputation_weather_mask_0.5,weather,0.060780782252550125,,,,,0.13481560349464417,,,,,,,,,,,0.5,0.060780782252550125,,,,,,,,,,,,
imputation,imputation_weather_mask_0.25,weather,0.04474903643131256,,,,,0.10311966389417648,,,,,,,,,,,0.25,0.04474903643131256,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,0.2034807801246643,,,,,0.3117167055606842,,,,,,,,,,,0.375,0.2034807801246643,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.5,ECL,0.20639388263225555,,,,,0.31331637501716614,,,,,,,,,,,0.5,0.20639388263225555,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_96,ETTh1,0.5087695717811584,,,long_term_forecast_ETTh1_96_96_EST_ETTh1_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.46096622943878174,,,,,,,,,,,,0.5087695717811584,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_96,ETTh2,0.36919599771499634,,,long_term_forecast_ETTh2_96_96_EST_ETTh2_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.3967426121234894,,,,,,,,,,,,0.36919599771499634,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm1_96,ETTm1,0.3698846399784088,,,long_term_forecast_ETTm1_96_96_EST_ETTm1_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.3856887221336365,,,,,,,,,,,,0.3698846399784088,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm2_96,ETTm2,0.2003437578678131,,,long_term_forecast_ETTm2_96_96_EST_ETTm2_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.2753317952156067,,,,,,,,,,,,0.2003437578678131,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_192,ETTh2,0.5258411765098572,,,long_term_forecast_ETTh2_96_192_EST_ETTh2_ftM_sl96_ll48_pl192_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,192.0,0.49783992767333984,,,,,,,,,,,,0.5258411765098572,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_192,ETTh1,1.240107536315918,,,long_term_forecast_ETTh1_96_192_EST_ETTh1_ftM_sl96_ll48_pl192_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,192.0,0.746109664440155,,,,,,,,,,,,1.240107536315918,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_336,ETTh1,0.7349005937576294,,,long_term_forecast_ETTh1_96_336_EST_ETTh1_ftM_sl96_ll48_pl336_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,336.0,0.580889105796814,,,,,,,,,,,,0.7349005937576294,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_336,ETTh2,0.5181326866149902,,,long_term_forecast_ETTh2_96_336_EST_ETTh2_ftM_sl96_ll48_pl336_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,336.0,0.4974171817302704,,,,,,,,,,,,0.5181326866149902,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_720,ETTh1,0.7024973034858704,,,long_term_forecast_ETTh1_96_720_EST_ETTh1_ftM_sl96_ll48_pl720_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,720.0,0.5928177833557129,,,,,,,,,,,,0.7024973034858704,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ili_24,ili,3.6721627712249756,,,long_term_forecast_ili_36_24_EST_custom_ftM_sl36_ll18_pl24_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,24.0,1.0882209539413452,,,,,,,,,,,,3.6721627712249756,,,,,,,,,,,,
