task_type,task_name,dataset,main_metric,accuracy,f_score,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7834,0.9805,0.7834,,,,,,,,,,,,,,,,,,,0.7273,0.8489,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.9305,0.9637,0.9305,,,,,,,,,,,,,,,,,,,0.9932,0.8752,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8206,0.9654,0.8206,,,,,,,,,,,,,,,,,,,0.9068,0.7493,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.7265,0.9414,0.7265,,,,,,,,,,,,,,,,,,,0.9012,0.6085,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.8096,0.9611,0.8096,,,,,,,,,,,,,,,,,,,0.9972,0.6814,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,0.09576079249382019,,,0.2240789383649826,,,,,,,,,,,0.125,0.09576079249382019,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,0.1470363587141037,,,0.283777117729187,,,,,,,,,,,0.25,0.1470363587141037,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.12228016555309296,,,0.20754079520702362,,,,,,,,,,,0.125,0.12228016555309296,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.19622470438480377,,,0.30975666642189026,,,,,,,,,,,0.125,0.19622470438480377,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.16762056946754456,,,0.2991442382335663,,,,,,,,,,,0.375,0.16762056946754456,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.2700369656085968,,,0.3706781566143036,,,,,,,,,,,0.5,0.2700369656085968,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.0651685893535614,,,0.13423322141170502,,,,,,,,,,,0.375,0.0651685893535614,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.1968153864145279,,,0.31059277057647705,,,,,,,,,,,0.25,0.1968153864145279,,,,,,,,,,,,
imputation,imputation_weather_mask_0.25,weather,0.07071619480848312,,,0.1443420648574829,,,,,,,,,,,0.25,0.07071619480848312,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,0.20439046621322632,,,0.3140524923801422,,,,,,,,,,,0.375,0.20439046621322632,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.5,ECL,0.20776179432868958,,,0.3148658871650696,,,,,,,,,,,0.5,0.20776179432868958,,,,,,,,,,,,
imputation,imputation_weather_mask_0.5,weather,0.07123030722141266,,,0.14014796912670135,,,,,,,,,,,0.5,0.07123030722141266,,,,,,,,,,,,
classification,classification_EthanolConcentration,EthanolConcentration,0.2813688212927757,0.2813688212927757,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_FaceDetection,FaceDetection,0.604994324631101,0.604994324631101,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_Handwriting,Handwriting,0.4364705882352941,0.4364705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_Heartbeat,Heartbeat,0.7707317073170732,0.7707317073170732,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_JapaneseVowels,JapaneseVowels,0.9567567567567568,0.9567567567567568,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_PEMS_SF,PEMS_SF,0.8034682080924855,0.8034682080924855,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_SelfRegulationSCP1,SelfRegulationSCP1,0.9078498293515358,0.9078498293515358,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_SelfRegulationSCP2,SelfRegulationSCP2,0.55,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_SpokenArabicDigits,SpokenArabicDigits,0.9840836743974534,0.9840836743974534,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_UWaveGestureLibrary,UWaveGestureLibrary,0.89375,0.89375,,,,,,,,,,,,,,,,,,,,,,,,,,
short_term_forecast,short_term_forecast_m4_Monthly,Monthly,0.93,,,,12.886,14.222,5.004,11.293,13.474,1.74,1.132,3.233,1.403,3.038,,,0.93,1.025,1.036,1.024,0.794,,,12.886,14.222,5.004,11.293,13.474
short_term_forecast,short_term_forecast_m4_Yearly,Yearly,0.934,,,,12.917,14.222,5.004,11.293,13.607,1.751,1.132,3.233,1.403,3.085,,,0.934,1.025,1.036,1.024,0.804,,,12.917,14.222,5.004,11.293,13.607
short_term_forecast,short_term_forecast_m4_Quarterly,Quarterly,0.928,,,,12.853,14.222,5.004,11.026,13.607,1.738,1.132,3.233,1.349,3.085,,,0.928,1.025,1.036,0.992,0.804,,,12.853,14.222,5.004,11.026,13.607
short_term_forecast,short_term_forecast_m4_Weekly,Weekly,0.928,,,,12.849,14.222,4.932,11.026,13.607,1.737,1.132,3.21,1.349,3.085,,,0.928,1.025,1.025,0.992,0.804,,,12.849,14.222,4.932,11.026,13.607
short_term_forecast,short_term_forecast_m4_Daily,Daily,0.929,,,,12.851,14.222,4.971,11.026,13.607,1.741,1.132,3.278,1.349,3.085,,,0.929,1.025,1.04,0.992,0.804,,,12.851,14.222,4.971,11.026,13.607
short_term_forecast,short_term_forecast_m4_Hourly,Hourly,0.94,,,,12.911,14.222,6.173,11.026,13.607,1.773,1.132,3.924,1.349,3.085,,,0.94,1.025,1.268,0.992,0.804,,,12.911,14.222,6.173,11.026,13.607
