task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7788,0.9801,0.7788,,,,,,,,,,,,,,,,,,,,,0.7238,0.8427,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.929,0.9629,0.929,,,,,,,,,,,,,,,,,,,,,0.9917,0.8737,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8172,0.9647,0.8172,,,,,,,,,,,,,,,,,,,,,0.8999,0.7485,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.8294,0.9602,0.8294,,,,,,,,,,,,,,,,,,,,,0.9182,0.7563,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.8889,0.9755,0.8889,,,,,,,,,,,,,,,,,,,,,0.9896,0.8068,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,1.2121124267578125,,,,,0.8278608322143555,,,,,,,,,,,0.125,1.2121124267578125,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,1.1568772792816162,,,,,0.8370280265808105,,,,,,,,,,,0.25,1.1568772792816162,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,1.1584054231643677,,,,,0.8321084976196289,,,,,,,,,,,0.375,1.1584054231643677,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.6361733078956604,,,,,0.6049133539199829,,,,,,,,,,,0.125,0.6361733078956604,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.5480971932411194,,,,,0.5409600138664246,,,,,,,,,,,0.375,0.5480971932411194,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.9974126219749451,,,,,0.8208470940589905,,,,,,,,,,,0.125,0.9974126219749451,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,1.1448734998703003,,,,,0.8299087882041931,,,,,,,,,,,0.5,1.1448734998703003,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,1.0071423053741455,,,,,0.8284732103347778,,,,,,,,,,,0.25,1.0071423053741455,,,,,,,,,,,,
imputation,imputation_weather_mask_0.25,weather,0.4875803291797638,,,,,0.4937322735786438,,,,,,,,,,,0.25,0.4875803291797638,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,1.0090162754058838,,,,,0.8269851207733154,,,,,,,,,,,0.375,1.0090162754058838,,,,,,,,,,,,
imputation,imputation_weather_mask_0.5,weather,0.6150068044662476,,,,,0.5940290689468384,,,,,,,,,,,0.5,0.6150068044662476,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.5,ECL,1.0093765258789062,,,,,0.8280377388000488,,,,,,,,,,,0.5,1.0093765258789062,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_96,ETTh2,0.36131715774536133,,,long_term_forecast_ETTh2_96_96_EST_ETTh2_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.39603960514068604,,,,,,,,,,,,0.36131715774536133,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_96,ETTh1,0.496320515871048,,,long_term_forecast_ETTh1_96_96_EST_ETTh1_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.45338788628578186,,,,,,,,,,,,0.496320515871048,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_192,ETTh2,0.5084006190299988,,,long_term_forecast_ETTh2_96_192_EST_ETTh2_ftM_sl96_ll48_pl192_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,192.0,0.47260668873786926,,,,,,,,,,,,0.5084006190299988,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm2_96,ETTm2,0.2316884547472,,,long_term_forecast_ETTm2_96_96_EST_ETTm2_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.3084099292755127,,,,,,,,,,,,0.2316884547472,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_192,ETTh1,0.9957840442657471,,,long_term_forecast_ETTh1_96_192_EST_ETTh1_ftM_sl96_ll48_pl192_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,192.0,0.6512661576271057,,,,,,,,,,,,0.9957840442657471,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm1_96,ETTm1,0.4174840748310089,,,long_term_forecast_ETTm1_96_96_EST_ETTm1_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.4215376079082489,,,,,,,,,,,,0.4174840748310089,,,,,,,,,,,,
